record - dc:cdmid,image_url,record - dc:title,record - dc:cdmfile,record - dc:cdmpath,record - dc:viewerURL,record - dc:cdmcreated,record - dc:cdmmodified,record - dc:format,record - dc:subject,record - dc:publisher,record - dc:type,record - dc:creator,record - width,record - height,record - dc:source,record - dc:language,record - dc:identifier,record - dc:date,record - dc:description,record - dc:coverage,record - dc:relation,related_to,record - illust_tech,record - dc:contributor,record - tag,record - text,record - notes,record - dc:audience
3,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=3,Relief Record (for use at Central Office),4.jpg,/p4129coll7/image/4.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/3,2003-12-11,2003-12-11,JPG,Milk; Assistance;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed ephemera of the New York Milk Committee.,English,mk1e028m002.jpg,[1911],Blank card for recording details of welfare assistance given to infant and family.,New York. New York City.,back of mk1e028m,mk1e028m,,,postcard,,,
4,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=4,Case History Card (Conditions Previous to Admittance) [Form H-8-29-11-5000],5.jpg,/p4129coll7/image/5.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/4,2003-12-17,2003-12-17,JPG,Health & welfare; Infants; Families;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,21,13,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e027m001.jpg,[1911],"Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""",New York. New York City.,,,,,,,,
5,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=5,Request for Relief,6.jpg,/p4129coll7/image/6.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/5,2003-12-17,2003-12-17,JPG,Milk; Assistance;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e021m001.jpg,[1911],Blank form for recording information about economic and social status of family seeking milk and welfare assistance.,New York. New York City.,,,,,,,,
6,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=6,Eligible Baby,7.jpg,/p4129coll7/image/7.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/6,2003-12-17,2003-12-17,JPG,Milk; Infants;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e022m001.jpg,[1911],"Blank card for recording details about infant and family to which milk assistance was delivered. ""Form L-9-11-11-5000.""",New York. New York City.,,,,,,,,
7,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=7,Institutional Case,8.jpg,/p4129coll7/image/8.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/7,2003-12-17,2003-12-17,JPG,Assistance; Infants; Milk,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e023m001.jpg,[1911],"Blank card for recording information about an infant receiving milk assistance at a healthcare facility. ""Form C. 6-1-11-2000""",New York. New York City.,,,,,,,,
8,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=8,To the Wet Nurse Registry of the N.Y. Milk Committee,9.jpg,/p4129coll7/image/9.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/8,2003-12-17,2003-12-17,JPG,Breast feeding; Wet-nurses;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e020m001.jpg,[1911],Blank application card for woman seeking position as wet nurse at the New York Milk Committee.,New York. New York City.,,,,,,,,
9,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=9,Registered Baby (front),10.jpg,/p4129coll7/image/10.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/9,2003-12-11,2003-12-11,JPG,Infants; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024m001.jpg,[1911],"Front of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""",New York. New York City.,front of mk1e024m,mk1e024m,,,postcard,,,
10,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=10,Case History Card (Conditions Previous to Admittance) [Form R-7-10-11-2000],11.jpg,/p4129coll7/image/11.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/10,2003-12-17,2003-12-17,JPG,Health & welfare; Infants; Families;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,,,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e028m001.jpg,[1911],"Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""",New York. New York City.,,,,,,,,
11,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=11,Nurse's Daily Report,12.jpg,/p4129coll7/image/12.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/11,2003-12-17,2003-12-17,JPG,Nurses; Nursing; Infants; Mothers; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,11,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e026m001.jpg,[1911],"Blank form for recording data about the infants and mothers under a nurse's care, including numbers of cases;  kinds of instruction and and quantity of milk delivered. ""Form N-5-1-11-5000, 7-31-11-5000""",New York. New York City.,,,,,,,,
12,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=12,Registered Baby (back),13.jpg,/p4129coll7/image/13.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/12,2003-12-11,2003-12-11,JPG,Infants; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024m002.jpg,[1911],"Back of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""",New York. New York City.,back of mk1e024m,mk1e024m,,,postcard,,,
13,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=13,Expectant Mother,14.jpg,/p4129coll7/image/14.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/13,2003-12-17,2003-12-17,JPG,Pregnant women; Health & welfare; Infants;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,11,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e025m001.jpg,[1911],"Blank form for recording details of expectant mother's health, including information about previous pregnancies and infant feeding methods.",New York. New York City.,,,,,,,,
